object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",9,0.32929412921892537,0.34240813838295486,0.07964814603744022,0.4089422752563656,0.04585077267554851,0.18200740055504164,0.9486896981069904,8.821288000035565,0.4848339995078277
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,1,"[0, 9]",2,3,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",21,0.2591618611408565,0.26301635483071734,0.4089422752563656,0.6681041363972222,0.01752127229296512,-0.03299414122725871,0.7503747792584915,0.15174800137174316,0.4141589997743722
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,2,"[0, 9, 21]",3,4,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",23,0.09591728432475335,0.09591728432475335,0.6681041363972222,0.7640214207219755,0.0,0.20764163372859024,0.8464369431997819,0.2766050019999966,0.6863649978186004
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,3,"[0, 9, 21, 23]",4,5,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",31,0.01534582247730715,0.08534988234075144,0.7640214207219755,0.7793672431992826,0.8915401464956738,-0.10063424947145878,0.28226504406649006,0.18863600053009577,0.584000998060219
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,4,"[0, 9, 21, 23, 31]",5,6,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",29,0.04206273284222504,0.08380704062380843,0.7793672431992826,0.8214299760415076,0.5183358300899102,0.010419812745394141,0.5886662206954711,0.1636440028960351,0.5026280014135409
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,5,"[0, 9, 21, 23, 31, 29]",6,7,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",40,0.010128770104703942,0.05725258732563307,0.8214299760415076,0.8315587461462116,0.8638297057044028,-0.005591119034113929,0.40713801300593694,0.17024099724949338,0.5384159994719084
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,6,"[0, 9, 21, 23, 31, 29, 40]",7,8,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",2,0.0097088899268905,0.054050785240425586,0.8315587461462116,0.8412676360731021,0.8531516467549751,0.05818815331010452,0.2653353594340668,0.24531600138288923,0.6470799999078736
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,7,"[0, 9, 21, 23, 31, 29, 40, 2]",8,9,"[false, true, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",25,0.022876791407837743,0.049394427611853496,0.8412676360731021,0.8641444274809398,0.5536911973283438,0.006941838649155723,0.404094651955559,0.3729719974217005,0.46094299977994524
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,8,"[0, 9, 21, 23, 31, 29, 40, 2, 25]",9,10,"[false, true, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, false, true, true, true, false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",17,0.0031045052200797995,0.03258031276069425,0.8641444274809398,0.8672489327010197,0.9380670551597723,-0.1459514170040486,0.20243233780209954,0.21182699856581166,0.5587090017797891
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",46,0.05639312928416302,0.34240813838295486,0.07964814603744022,0.13604127532160326,0.9999999999965038,-0.10319596330553903,0.4371340054513542,0.07907300096121617,0.5354180029826239
